# alpha time_ps distance_A F_radial_unscaled F_radial_scaled F_tangential
0.0000 0.460000 0.004529 0.017817 0.000000 0.026428
0.0000 0.470000 0.004619 0.017693 0.000000 0.026711
0.0000 0.480000 0.004708 0.017579 0.000000 0.026976
0.0000 0.490000 0.004798 0.017373 0.000000 0.027322
0.0000 0.500000 0.004886 0.017082 0.000000 0.027749
0.0000 0.510000 0.004975 0.016821 0.000000 0.028228
0.0000 0.520000 0.005064 0.016710 0.000000 0.028832
0.0000 0.530000 0.005153 0.016543 0.000000 0.029434
0.0000 0.540000 0.005243 0.016350 0.000000 0.030122
0.0000 0.550000 0.005332 0.016168 0.000000 0.030842
0.0000 0.560000 0.005421 0.016033 0.000000 0.031583
0.0000 0.570000 0.005510 0.016031 0.000000 0.032325
0.0000 0.580000 0.005599 0.016192 0.000000 0.033158
0.0000 0.590000 0.005687 0.016488 0.000000 0.034051
0.0000 0.600000 0.005774 0.016866 0.000000 0.035007
0.0000 0.610000 0.005861 0.017273 0.000000 0.035975
0.0000 0.620000 0.005947 0.017813 0.000000 0.036922
0.0000 0.630000 0.006033 0.018231 0.000000 0.038025
0.0000 0.640000 0.006119 0.018585 0.000000 0.039095
0.0000 0.650000 0.006205 0.018809 0.000000 0.040125
0.0000 0.660000 0.006291 0.018848 0.000000 0.041159
0.0000 0.670000 0.006376 0.018826 0.000000 0.042111
0.0000 0.680000 0.006462 0.018768 0.000000 0.042969
0.0000 0.690000 0.006547 0.018615 0.000000 0.043740
0.0000 0.700000 0.006632 0.018409 0.000000 0.044495
0.0000 0.710000 0.006717 0.018168 0.000000 0.045197
0.0000 0.720000 0.006801 0.017915 0.000000 0.045761
0.0000 0.730000 0.006885 0.017640 0.000000 0.046360
0.0000 0.740000 0.006968 0.017535 0.000000 0.047120
0.0000 0.750000 0.007051 0.017396 0.000000 0.047980
0.0000 0.760000 0.007134 0.017275 0.000000 0.048845
0.0000 0.770000 0.007217 0.017044 0.000000 0.049676
0.0000 0.780000 0.007300 0.016853 0.000000 0.050571
0.0000 0.790000 0.007381 0.016737 0.000000 0.051377
0.0000 0.800000 0.007463 0.016654 0.000000 0.052207
0.0000 0.810000 0.007545 0.016724 0.000000 0.053082
0.0000 0.820000 0.007627 0.016873 0.000000 0.053941
0.0000 0.830000 0.007709 0.017195 0.000000 0.054756
0.0000 0.840000 0.007790 0.017063 0.000000 0.055811
0.0000 0.850000 0.007871 0.016948 0.000000 0.056869
0.0000 0.860000 0.007953 0.016694 0.000000 0.057959
0.0000 0.870000 0.008034 0.016395 0.000000 0.058981
0.0000 0.880000 0.008114 0.015798 0.000000 0.060583
0.0000 0.890000 0.008195 0.015065 0.000000 0.062088
0.0000 0.900000 0.008276 0.014689 0.000000 0.063476
0.0000 0.910000 0.008357 0.014284 0.000000 0.064743
0.0000 0.920000 0.008437 0.013716 0.000000 0.065768
0.0000 0.930000 0.008518 0.012997 0.000000 0.066468
0.0000 0.940000 0.008598 0.012051 0.000000 0.066843
0.0000 0.950000 0.008678 0.010693 0.000000 0.066926
0.0000 0.960000 0.008757 0.008789 0.000000 0.066705
0.0000 0.970000 0.008835 0.006642 0.000000 0.066304
0.0000 0.980000 0.008914 0.004272 0.000000 0.065708
0.0000 0.990000 0.008993 0.001608 0.000000 0.064916
0.0000 1.000000 0.009072 0.001454 0.000000 0.064081
1.0000 0.010000 0.000121 0.019299 0.019299 0.023816
1.0000 0.020000 0.000242 0.019188 0.019188 0.024108
1.0000 0.030000 0.000363 0.019071 0.019071 0.024414
1.0000 0.040000 0.000483 0.018892 0.018892 0.024693
1.0000 0.050000 0.000603 0.018682 0.018682 0.025020
1.0000 0.060000 0.000723 0.018370 0.018370 0.025344
1.0000 0.070000 0.000842 0.017953 0.017953 0.025621
1.0000 0.080000 0.000962 0.017498 0.017498 0.025915
1.0000 0.090000 0.001081 0.017057 0.017057 0.026212
1.0000 0.100000 0.001200 0.016727 0.016727 0.026479
1.0000 0.110000 0.001318 0.016422 0.016422 0.026815
1.0000 0.120000 0.001436 0.016129 0.016129 0.027216
1.0000 0.130000 0.001554 0.015812 0.015812 0.027584
1.0000 0.140000 0.001671 0.015449 0.015449 0.027933
1.0000 0.150000 0.001789 0.015056 0.015056 0.028296
1.0000 0.160000 0.001906 0.014704 0.014704 0.028648
1.0000 0.170000 0.002024 0.014350 0.014350 0.029020
1.0000 0.180000 0.002141 0.013963 0.013963 0.029345
1.0000 0.190000 0.002258 0.013615 0.013615 0.029596
1.0000 0.200000 0.002376 0.013240 0.013240 0.029723
1.0000 0.210000 0.002494 0.012868 0.012868 0.029752
1.0000 0.220000 0.002612 0.012479 0.012479 0.029750
1.0000 0.230000 0.002729 0.012083 0.012083 0.029715
1.0000 0.240000 0.002846 0.011705 0.011705 0.029639
1.0000 0.250000 0.002963 0.011336 0.011336 0.029503
1.0000 0.260000 0.003080 0.011042 0.011042 0.029333
1.0000 0.270000 0.003197 0.010728 0.010728 0.029200
1.0000 0.280000 0.003313 0.010400 0.010400 0.029052
1.0000 0.290000 0.003429 0.010099 0.010099 0.028844
1.0000 0.300000 0.003545 0.009802 0.009802 0.028702
1.0000 0.310000 0.003660 0.009527 0.009527 0.028582
1.0000 0.320000 0.003774 0.009241 0.009241 0.028504
1.0000 0.330000 0.003888 0.008946 0.008946 0.028418
1.0000 0.340000 0.004002 0.008627 0.008627 0.028355
1.0000 0.350000 0.004116 0.008317 0.008317 0.028294
1.0000 0.360000 0.004229 0.008051 0.008051 0.028259
1.0000 0.370000 0.004342 0.007763 0.007763 0.028257
1.0000 0.380000 0.004455 0.007447 0.007447 0.028257
1.0000 0.390000 0.004567 0.007134 0.007134 0.028279
1.0000 0.400000 0.004679 0.006808 0.006808 0.028319
1.0000 0.410000 0.004791 0.006500 0.006500 0.028378
1.0000 0.420000 0.004902 0.006276 0.006276 0.028407
1.0000 0.430000 0.005012 0.006136 0.006136 0.028412
1.0000 0.440000 0.005123 0.005965 0.005965 0.028397
1.0000 0.450000 0.005234 0.005762 0.005762 0.028397
1.0000 0.460000 0.005345 0.005541 0.005541 0.028378
1.0000 0.470000 0.005455 0.005338 0.005338 0.028285
1.0000 0.480000 0.005565 0.005151 0.005151 0.028182
1.0000 0.490000 0.005675 0.004988 0.004988 0.028035
1.0000 0.500000 0.005785 0.004894 0.004894 0.027858
1.0000 0.510000 0.005894 0.004806 0.004806 0.027745
1.0000 0.520000 0.006003 0.004763 0.004763 0.027606
1.0000 0.530000 0.006113 0.004763 0.004763 0.027454
1.0000 0.540000 0.006222 0.004756 0.004756 0.027337
1.0000 0.550000 0.006332 0.004771 0.004771 0.027181
1.0000 0.560000 0.006441 0.004718 0.004718 0.027009
1.0000 0.570000 0.006550 0.004679 0.004679 0.026852
1.0000 0.580000 0.006659 0.004690 0.004690 0.026710
1.0000 0.590000 0.006768 0.004664 0.004664 0.026606
1.0000 0.600000 0.006876 0.004623 0.004623 0.026517
1.0000 0.610000 0.006984 0.004609 0.004609 0.026488
1.0000 0.620000 0.007092 0.004701 0.004701 0.026572
1.0000 0.630000 0.007199 0.004804 0.004804 0.026675
1.0000 0.640000 0.007305 0.004894 0.004894 0.026827
1.0000 0.650000 0.007412 0.005038 0.005038 0.027042
1.0000 0.660000 0.007518 0.005182 0.005182 0.027303
1.0000 0.670000 0.007625 0.005337 0.005337 0.027541
1.0000 0.680000 0.007732 0.005611 0.005611 0.027876
1.0000 0.690000 0.007839 0.005969 0.005969 0.028252
1.0000 0.700000 0.007945 0.006298 0.006298 0.028675
1.0000 0.710000 0.008052 0.006653 0.006653 0.029091
1.0000 0.720000 0.008158 0.007100 0.007100 0.029479
1.0000 0.730000 0.008263 0.007657 0.007657 0.029920
1.0000 0.740000 0.008369 0.008250 0.008250 0.030411
1.0000 0.750000 0.008474 0.008881 0.008881 0.030988
1.0000 0.760000 0.008580 0.009515 0.009515 0.031658
1.0000 0.770000 0.008685 0.010113 0.010113 0.032396
1.0000 0.780000 0.008791 0.010671 0.010671 0.033172
1.0000 0.790000 0.008896 0.011175 0.011175 0.034034
1.0000 0.800000 0.009002 0.011678 0.011678 0.034934
1.0000 0.810000 0.009107 0.012264 0.012264 0.035881
1.0000 0.820000 0.009214 0.012921 0.012921 0.036832
1.0000 0.830000 0.009319 0.013593 0.013593 0.037769
1.0000 0.840000 0.009425 0.014223 0.014223 0.038521
1.0000 0.850000 0.009530 0.014830 0.014830 0.039221
1.0000 0.860000 0.009636 0.015487 0.015487 0.039934
1.0000 0.870000 0.009741 0.016069 0.016069 0.040646
1.0000 0.880000 0.009845 0.016560 0.016560 0.041349
1.0000 0.890000 0.009949 0.016953 0.016953 0.041984
1.0000 0.900000 0.010053 0.017258 0.017258 0.042556
1.0000 0.910000 0.010157 0.017506 0.017506 0.043130
1.0000 0.920000 0.010260 0.017679 0.017679 0.043765
1.0000 0.930000 0.010364 0.017780 0.017780 0.044502
1.0000 0.940000 0.010467 0.017781 0.017781 0.045319
1.0000 0.950000 0.010571 0.017706 0.017706 0.046133
1.0000 0.960000 0.010674 0.017540 0.017540 0.046917
1.0000 0.970000 0.010778 0.017233 0.017233 0.047751
1.0000 0.980000 0.010880 0.016829 0.016829 0.048594
1.0000 0.990000 0.010982 0.016268 0.016268 0.049469
1.0000 1.000000 0.011083 0.015667 0.015667 0.050345
